"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 12:41:39 GMT 2022","Thu Mar 17 12:41:40 GMT 2022","608","chromium","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:41:47 GMT 2022","Thu Mar 17 12:41:48 GMT 2022","890","firefox","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:41:35 GMT 2022","Thu Mar 17 12:41:35 GMT 2022","230","API tests","api.petStore.spec.js","Pet store API tests","","","Delete Pet by id",""
"passed","Thu Mar 17 12:41:53 GMT 2022","Thu Mar 17 12:41:54 GMT 2022","879","webkit","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:41:40 GMT 2022","Thu Mar 17 12:41:40 GMT 2022","594","chromium","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:41:54 GMT 2022","Thu Mar 17 12:41:55 GMT 2022","897","webkit","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:41:43 GMT 2022","Thu Mar 17 12:41:46 GMT 2022","3537","firefox","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:41:48 GMT 2022","Thu Mar 17 12:41:49 GMT 2022","1065","firefox","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:41:34 GMT 2022","Thu Mar 17 12:41:35 GMT 2022","234","API tests","api.petStore.spec.js","Pet store API tests","","","Update existing pet",""
"passed","Thu Mar 17 12:41:34 GMT 2022","Thu Mar 17 12:41:34 GMT 2022","305","API tests","api.petStore.spec.js","Pet store API tests","","","Find Pet by id",""
"passed","Thu Mar 17 12:41:46 GMT 2022","Thu Mar 17 12:41:47 GMT 2022","942","firefox","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:41:40 GMT 2022","Thu Mar 17 12:41:41 GMT 2022","667","chromium","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:41:51 GMT 2022","Thu Mar 17 12:41:53 GMT 2022","1675","webkit","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:41:38 GMT 2022","Thu Mar 17 12:41:39 GMT 2022","935","chromium","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:41:55 GMT 2022","Thu Mar 17 12:41:56 GMT 2022","965","webkit","ui.playground.spec.js","Login UI tests","","","Logout",""
