"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 12:39:16 GMT 2022","Thu Mar 17 12:39:16 GMT 2022","224","API tests","api.petStore.spec.js","Pet store API tests","","","Find Pet by id",""
"passed","Thu Mar 17 12:39:20 GMT 2022","Thu Mar 17 12:39:21 GMT 2022","399","chromium","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:39:30 GMT 2022","Thu Mar 17 12:39:30 GMT 2022","690","webkit","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:39:26 GMT 2022","Thu Mar 17 12:39:26 GMT 2022","680","firefox","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:39:31 GMT 2022","Thu Mar 17 12:39:32 GMT 2022","734","webkit","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:39:25 GMT 2022","Thu Mar 17 12:39:26 GMT 2022","687","firefox","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:39:21 GMT 2022","Thu Mar 17 12:39:21 GMT 2022","453","chromium","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:39:22 GMT 2022","Thu Mar 17 12:39:24 GMT 2022","1784","firefox","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:39:16 GMT 2022","Thu Mar 17 12:39:17 GMT 2022","166","API tests","api.petStore.spec.js","Pet store API tests","","","Update existing pet",""
"passed","Thu Mar 17 12:39:30 GMT 2022","Thu Mar 17 12:39:31 GMT 2022","593","webkit","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:39:19 GMT 2022","Thu Mar 17 12:39:20 GMT 2022","693","chromium","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:39:20 GMT 2022","Thu Mar 17 12:39:20 GMT 2022","411","chromium","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:39:24 GMT 2022","Thu Mar 17 12:39:25 GMT 2022","652","firefox","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:39:28 GMT 2022","Thu Mar 17 12:39:30 GMT 2022","2005","webkit","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:39:17 GMT 2022","Thu Mar 17 12:39:17 GMT 2022","320","API tests","api.petStore.spec.js","Pet store API tests","","","Delete Pet by id",""
